BINID	total_length	seq_length_mean	total_seq_counts	genome_id	tp_length	tp_seq_counts	precision_bp	precision_seq	length_gs	seq_counts_gs	recall_bp	recall_seq	rank	Tool	sample_id
72	459601	2567.603351955307	179.0	Otu1204	459601	179.0	1.0	1.0	1033774	915.0	0.44458556705817714	0.19562841530054645	NA	MetaBat2_GTDB	sample_1
73	357490	5499.846153846154	65.0	Otu69.0	354121	63.0	0.9905759601667179	0.9692307692307692	4660072	1088.0	0.0759904567998091	0.057904411764705885	NA	MetaBat2_GTDB	sample_1
74	332951	2030.189024390244	164.0	Otu712	294011	143.0	0.8830458535940724	0.8719512195121951	2696345	4240.0	0.10904057158857638	0.03372641509433962	NA	MetaBat2_GTDB	sample_1
75	228028	4560.56	50.0	Otu660	155925	39.0	0.6837976038030418	0.78	2339246	1057.0	0.06665609345917445	0.036896877956480605	NA	MetaBat2_GTDB	sample_1
76	4565798	7497.205254515599	609.0	Otu219.0	4413758	565.0	0.9667002350958146	0.9277504105090312	4975469	833.0	0.8871039091993137	0.6782713085234093	NA	MetaBat2_GTDB	sample_1
77	2705885	7196.502659574468	376.0	Otu159	2673564	358.0	0.9880552942937338	0.9521276595744681	3312330	647.0	0.8071550841854526	0.5533230293663061	NA	MetaBat2_GTDB	sample_1
78	7105987	39043.88461538462	182.0	Otu26.0	3899899	2.0	0.5488187636706906	0.01098901098901099	3899899	2.0	1.0	1.0	NA	MetaBat2_GTDB	sample_1
79	707086	2251.8662420382166	314.0	Otu123.0	677462	302.0	0.9581041061483327	0.9617834394904459	2792589	3292.0	0.24259280545758793	0.09173754556500607	NA	MetaBat2_GTDB	sample_1
8	3481681	3481681.0	1.0	Otu67.0	3481681	1.0	1.0	1.0	3522072	2.0	0.9885320345523885	0.5	NA	MetaBat2_GTDB	sample_1
80	1285396	2239.3658536585367	574.0	Otu139	1076892	468.0	0.8377900662519566	0.8153310104529616	4469603	5281.0	0.2409368348822032	0.08861957962507101	NA	MetaBat2_GTDB	sample_1
81	3702850	1234283.3333333333	3.0	Otu70.0	3702850	3.0	1.0	1.0	3708124	4.0	0.998577717465759	0.75	NA	MetaBat2_GTDB	sample_1
82	3502004	43234.61728395062	81.0	Otu12.0	3496828	79.0	0.9985219891239416	0.9753086419753086	3657296	84.0	0.9561238685630039	0.9404761904761905	NA	MetaBat2_GTDB	sample_1
83	251979	8128.354838709677	31.0	RNODE_225_length_25884_cov_6.69550	251979	31.0	1.0	1.0	256332	35.0	0.9830181171293478	0.8857142857142857	NA	MetaBat2_GTDB	sample_1
84	997854	2585.1139896373056	386.0	Otu196	932108	353.0	0.9341126056517286	0.9145077720207254	2151788	1812.0	0.43317836143709326	0.19481236203090507	NA	MetaBat2_GTDB	sample_1
85	3701699	6252.8699324324325	592.0	Otu61.0	3655284	572.0	0.9874611631037532	0.9662162162162162	4009597	812.0	0.9116337626948544	0.7044334975369458	NA	MetaBat2_GTDB	sample_1
86	4279149	4279149.0	1.0	Otu75.0	4279149	1.0	1.0	1.0	4279149	1.0	1.0	1.0	NA	MetaBat2_GTDB	sample_1
87	4145252	2072626.0	2.0	Otu2.0	4145252	2.0	1.0	1.0	4145252	2.0	1.0	1.0	NA	MetaBat2_GTDB	sample_1
88	341163	6689.470588235294	51.0	RNODE_521_length_36130_cov_13.94678	341163	51.0	1.0	1.0	356874	69.0	0.9559760587770474	0.7391304347826086	NA	MetaBat2_GTDB	sample_1
89	473668	2041.6724137931035	232.0	Otu415.0	463834	228.0	0.9792386228328703	0.9827586206896551	4099796	6351.0	0.11313587310197873	0.03589985829003307	NA	MetaBat2_GTDB	sample_1
9	2315363	2908.747487437186	796.0	Otu157.0	2130926	723.0	0.9203420802699188	0.9082914572864321	3372236	2174.0	0.631902986623712	0.3325666973321067	NA	MetaBat2_GTDB	sample_1
90	2348351	2888.50061500615	813.0	Otu980	2185437	737.0	0.9306262138836997	0.906519065190652	3523525	2283.0	0.6202416614044175	0.3228208497590889	NA	MetaBat2_GTDB	sample_1
91	3176231	3176231.0	1.0	Otu3.1	3176231	1.0	1.0	1.0	3176231	1.0	1.0	1.0	NA	MetaBat2_GTDB	sample_1
92	3515452	5868.868113522538	599.0	Otu69.0	3507077	596.0	0.9976176605455003	0.994991652754591	4660072	1088.0	0.7525800030557468	0.5477941176470589	NA	MetaBat2_GTDB	sample_1
93	9445980	787165.0	12.0	Otu345.0	9445980	12.0	1.0	1.0	9445980	12.0	1.0	1.0	NA	MetaBat2_GTDB	sample_1
94	3251327	3251327.0	1.0	Otu93	3251327	1.0	1.0	1.0	3251327	1.0	1.0	1.0	NA	MetaBat2_GTDB	sample_1
95	10637309	9652.730490018148	1102.0	Otu86.0	3683497	136.0	0.3462809061953545	0.12341197822141561	3758313	150.0	0.9800931960696195	0.9066666666666666	NA	MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
	0	0.0	0.0		0	0.0	0.0	0.0	0	0.0	0.0	0.0		MetaBat2_GTDB	sample_1
