BINID	TAXID	Tool	filtered	genome_id	index	length_gs	name	precision_bp	precision_seq	rank	recall_bp	recall_seq	sample_id	seq_counts_gs	seq_length_mean	total_length	total_seq_counts	tp_length	tp_seq_counts
RNODE_429_length_2129_cov_51.99106		Gold standard		RNODE_429_length_2129_cov_51.99106		19902		1.0	1.0	NA	1.0	1.0	sample_0	10	1990.2	19902	10	19902	10
Otu72.0		Gold standard		Otu72.0		3653830		1.0	1.0	NA	1.0	1.0	sample_0	2	1826915.0	3653830	2	3653830	2
Otu283.0		Gold standard		Otu283.0		4200513		1.0	1.0	NA	1.0	1.0	sample_0	1	4200513.0	4200513	1	4200513	1
Otu302.0		Gold standard		Otu302.0		3132217		1.0	1.0	NA	1.0	1.0	sample_0	3	1044072.3333333334	3132217	3	3132217	3
RNODE_65_length_5443_cov_3.51540		Gold standard		RNODE_65_length_5443_cov_3.51540		54146		1.0	1.0	NA	1.0	1.0	sample_0	10	5414.6	54146	10	54146	10
Otu70.0		Gold standard		Otu70.0		3708226		1.0	1.0	NA	1.0	1.0	sample_0	3	1236075.3333333333	3708226	3	3708226	3
Otu255		Gold standard		Otu255		5358867		1.0	1.0	NA	1.0	1.0	sample_0	4	1339716.75	5358867	4	5358867	4
Otu12.0		Gold standard		Otu12.0		3659618		1.0	1.0	NA	1.0	1.0	sample_0	3	1219872.6666666667	3659618	3	3659618	3
RNODE_171_length_3474_cov_9.39716		Gold standard		RNODE_171_length_3474_cov_9.39716		34484		1.0	1.0	NA	1.0	1.0	sample_0	10	3448.4	34484	10	34484	10
Otu234.0		Gold standard		Otu234.0		5341530		1.0	1.0	NA	1.0	1.0	sample_0	1	5341530.0	5341530	1	5341530	1
Otu71		Gold standard		Otu71		2791854		1.0	1.0	NA	1.0	1.0	sample_0	2	1395927.0	2791854	2	2791854	2
RNODE_513_length_2330_cov_8.01964		Gold standard		RNODE_513_length_2330_cov_8.01964		22731		1.0	1.0	NA	1.0	1.0	sample_0	10	2273.1	22731	10	22731	10
Otu4.0		Gold standard		Otu4.0		1926630		1.0	1.0	NA	1.0	1.0	sample_0	1	1926630.0	1926630	1	1926630	1
Otu576		Gold standard		Otu576		3398823		1.0	1.0	NA	1.0	1.0	sample_0	8	424852.875	3398823	8	3398823	8
RNODE_166_length_2298_cov_14.88049		Gold standard		RNODE_166_length_2298_cov_14.88049		22570		1.0	1.0	NA	1.0	1.0	sample_0	10	2257.0	22570	10	22570	10
Otu256		Gold standard		Otu256		3293431		1.0	1.0	NA	1.0	1.0	sample_0	1	3293431.0	3293431	1	3293431	1
Otu48.0		Gold standard		Otu48.0		1739487		1.0	1.0	NA	1.0	1.0	sample_0	1	1739487.0	1739487	1	1739487	1
Otu235.0		Gold standard		Otu235.0		4616522		1.0	1.0	NA	1.0	1.0	sample_0	1	4616522.0	4616522	1	4616522	1
Otu149		Gold standard		Otu149		1352774		1.0	1.0	NA	1.0	1.0	sample_0	1	1352774.0	1352774	1	1352774	1
Otu205.1		Gold standard		Otu205.1		5786048		1.0	1.0	NA	1.0	1.0	sample_0	14	413289.14285714284	5786048	14	5786048	14
RNODE_362_length_3387_cov_8.21902		Gold standard		RNODE_362_length_3387_cov_8.21902		33608		1.0	1.0	NA	1.0	1.0	sample_0	10	3360.8	33608	10	33608	10
RNODE_322_length_4175_cov_18.22923		Gold standard		RNODE_322_length_4175_cov_18.22923		41443		1.0	1.0	NA	1.0	1.0	sample_0	10	4144.3	41443	10	41443	10
Otu1204		Gold standard		Otu1204		1118416		1.0	1.0	NA	1.0	1.0	sample_0	3	372805.3333333333	1118416	3	1118416	3
Otu130.0		Gold standard		Otu130.0		4289702		1.0	1.0	NA	1.0	1.0	sample_0	2	2144851.0	4289702	2	4289702	2
Otu376		Gold standard		Otu376		490866		1.0	1.0	NA	1.0	1.0	sample_0	1	490866.0	490866	1	490866	1
Otu30.0		Gold standard		Otu30.0		2363209		1.0	1.0	NA	1.0	1.0	sample_0	1	2363209.0	2363209	1	2363209	1
RNODE_73_length_2194_cov_7.49125		Gold standard		RNODE_73_length_2194_cov_7.49125		21582		1.0	1.0	NA	1.0	1.0	sample_0	10	2158.2	21582	10	21582	10
Otu220.0		Gold standard		Otu220.0		5313838		1.0	1.0	NA	1.0	1.0	sample_0	4	1328459.5	5313838	4	5313838	4
Otu470		Gold standard		Otu470		1595975		1.0	1.0	NA	1.0	1.0	sample_0	1	1595975.0	1595975	1	1595975	1
Otu1458.0		Gold standard		Otu1458.0		4944048		1.0	1.0	NA	1.0	1.0	sample_0	2	2472024.0	4944048	2	4944048	2
RNODE_451_length_4052_cov_6.62773		Gold standard		RNODE_451_length_4052_cov_6.62773		39184		1.0	1.0	NA	1.0	1.0	sample_0	10	3918.4	39184	10	39184	10
RNODE_462_length_1528_cov_6.07822		Gold standard		RNODE_462_length_1528_cov_6.07822		14804		1.0	1.0	NA	1.0	1.0	sample_0	10	1480.4	14804	10	14804	10
Otu40.1		Gold standard		Otu40.1		6512824		1.0	1.0	NA	1.0	1.0	sample_0	5	1302564.8	6512824	5	6512824	5
Otu1337		Gold standard		Otu1337		3914592		1.0	1.0	NA	1.0	1.0	sample_0	2	1957296.0	3914592	2	3914592	2
RNODE_36_length_1303_cov_4.84934		Gold standard		RNODE_36_length_1303_cov_4.84934		12108		1.0	1.0	NA	1.0	1.0	sample_0	10	1210.8	12108	10	12108	10
Otu47.0		Gold standard		Otu47.0		1518632		1.0	1.0	NA	1.0	1.0	sample_0	1	1518632.0	1518632	1	1518632	1
Otu352.1		Gold standard		Otu352.1		3909688		1.0	1.0	NA	1.0	1.0	sample_0	1	3909688.0	3909688	1	3909688	1
Otu185.0		Gold standard		Otu185.0		5373173		1.0	1.0	NA	1.0	1.0	sample_0	1	5373173.0	5373173	1	5373173	1
Otu212.0		Gold standard		Otu212.0		4600946		1.0	1.0	NA	1.0	1.0	sample_0	3	1533648.6666666667	4600946	3	4600946	3
Otu271		Gold standard		Otu271		4470567		1.0	1.0	NA	1.0	1.0	sample_0	2	2235283.5	4470567	2	4470567	2
Otu123.0		Gold standard		Otu123.0		3153578		1.0	1.0	NA	1.0	1.0	sample_0	3	1051192.6666666667	3153578	3	3153578	3
RNODE_439_length_4196_cov_56.49278		Gold standard		RNODE_439_length_4196_cov_56.49278		41284		1.0	1.0	NA	1.0	1.0	sample_0	10	4128.4	41284	10	41284	10
Otu318.0		Gold standard		Otu318.0		5393517		1.0	1.0	NA	1.0	1.0	sample_0	3	1797839.0	5393517	3	5393517	3
Otu203		Gold standard		Otu203		4383451		1.0	1.0	NA	1.0	1.0	sample_0	3	1461150.3333333333	4383451	3	4383451	3
Otu139		Gold standard		Otu139		5040427		1.0	1.0	NA	1.0	1.0	sample_0	6	840071.1666666666	5040427	6	5040427	6
Otu386.0		Gold standard		Otu386.0		4399510		1.0	1.0	NA	1.0	1.0	sample_0	3	1466503.3333333333	4399510	3	4399510	3
Otu238.0		Gold standard		Otu238.0		4505655		1.0	1.0	NA	1.0	1.0	sample_0	1	4505655.0	4505655	1	4505655	1
Otu73		Gold standard		Otu73		5540271		1.0	1.0	NA	1.0	1.0	sample_0	6	923378.5	5540271	6	5540271	6
Otu241.0		Gold standard		Otu241.0		4875390		1.0	1.0	NA	1.0	1.0	sample_0	2	2437695.0	4875390	2	4875390	2
Otu37.0		Gold standard		Otu37.0		7327599		1.0	1.0	NA	1.0	1.0	sample_0	4	1831899.75	7327599	4	7327599	4
Otu110.0		Gold standard		Otu110.0		2884284		1.0	1.0	NA	1.0	1.0	sample_0	1	2884284.0	2884284	1	2884284	1
Otu119.0		Gold standard		Otu119.0		4653847		1.0	1.0	NA	1.0	1.0	sample_0	1	4653847.0	4653847	1	4653847	1
Otu450.0		Gold standard		Otu450.0		2986827		1.0	1.0	NA	1.0	1.0	sample_0	1	2986827.0	2986827	1	2986827	1
Otu186.0		Gold standard		Otu186.0		4927941		1.0	1.0	NA	1.0	1.0	sample_0	2	2463970.5	4927941	2	4927941	2
Otu312.0		Gold standard		Otu312.0		4560497		1.0	1.0	NA	1.0	1.0	sample_0	1	4560497.0	4560497	1	4560497	1
Otu292.0		Gold standard		Otu292.0		4331149		1.0	1.0	NA	1.0	1.0	sample_0	5	866229.8	4331149	5	4331149	5
Otu870		Gold standard		Otu870		2736366		1.0	1.0	NA	1.0	1.0	sample_0	1	2736366.0	2736366	1	2736366	1
Otu800.0		Gold standard		Otu800.0		4406281		1.0	1.0	NA	1.0	1.0	sample_0	3	1468760.3333333333	4406281	3	4406281	3
RNODE_521_length_36130_cov_13.94678		Gold standard		RNODE_521_length_36130_cov_13.94678		360770		1.0	1.0	NA	1.0	1.0	sample_0	10	36077.0	360770	10	360770	10
Otu393.0		Gold standard		Otu393.0		4969542		1.0	1.0	NA	1.0	1.0	sample_0	2	2484771.0	4969542	2	4969542	2
Otu78		Gold standard		Otu78		4802797		1.0	1.0	NA	1.0	1.0	sample_0	4	1200699.25	4802797	4	4802797	4
Otu229.0		Gold standard		Otu229.0		4134217		1.0	1.0	NA	1.0	1.0	sample_0	1	4134217.0	4134217	1	4134217	1
Otu2.0		Gold standard		Otu2.0		4145260		1.0	1.0	NA	1.0	1.0	sample_0	2	2072630.0	4145260	2	4145260	2
RNODE_109_length_1521_cov_3.43229		Gold standard		RNODE_109_length_1521_cov_3.43229		14971		1.0	1.0	NA	1.0	1.0	sample_0	10	1497.1	14971	10	14971	10
Otu222.1		Gold standard		Otu222.1		5183322		1.0	1.0	NA	1.0	1.0	sample_0	1	5183322.0	5183322	1	5183322	1
Otu160		Gold standard		Otu160		1859369		1.0	1.0	NA	1.0	1.0	sample_0	1	1859369.0	1859369	1	1859369	1
Otu250		Gold standard		Otu250		4050905		1.0	1.0	NA	1.0	1.0	sample_0	2	2025452.5	4050905	2	4050905	2
Otu90.0		Gold standard		Otu90.0		3705011		1.0	1.0	NA	1.0	1.0	sample_0	1	3705011.0	3705011	1	3705011	1
Otu106		Gold standard		Otu106		1877649		1.0	1.0	NA	1.0	1.0	sample_0	1	1877649.0	1877649	1	1877649	1
Otu846.0		Gold standard		Otu846.0		3858490		1.0	1.0	NA	1.0	1.0	sample_0	3	1286163.3333333333	3858490	3	3858490	3
Otu40.0		Gold standard		Otu40.0		1481183		1.0	1.0	NA	1.0	1.0	sample_0	1	1481183.0	1481183	1	1481183	1
RNODE_139_length_3589_cov_11.15335		Gold standard		RNODE_139_length_3589_cov_11.15335		35503		1.0	1.0	NA	1.0	1.0	sample_0	10	3550.3	35503	10	35503	10
Otu176.0		Gold standard		Otu176.0		3052367		1.0	1.0	NA	1.0	1.0	sample_0	2	1526183.5	3052367	2	3052367	2
Otu211		Gold standard		Otu211		2429665		1.0	1.0	NA	1.0	1.0	sample_0	1	2429665.0	2429665	1	2429665	1
Otu35.0		Gold standard		Otu35.0		5051673		1.0	1.0	NA	1.0	1.0	sample_0	1	5051673.0	5051673	1	5051673	1
Otu69.0		Gold standard		Otu69.0		4719539		1.0	1.0	NA	1.0	1.0	sample_0	1	4719539.0	4719539	1	4719539	1
Otu87.0		Gold standard		Otu87.0		4971279		1.0	1.0	NA	1.0	1.0	sample_0	2	2485639.5	4971279	2	4971279	2
Otu304.0		Gold standard		Otu304.0		4023492		1.0	1.0	NA	1.0	1.0	sample_0	2	2011746.0	4023492	2	4023492	2
Otu218		Gold standard		Otu218		1878554		1.0	1.0	NA	1.0	1.0	sample_0	2	939277.0	1878554	2	1878554	2
Otu660		Gold standard		Otu660		2410811		1.0	1.0	NA	1.0	1.0	sample_0	2	1205405.5	2410811	2	2410811	2
Otu298		Gold standard		Otu298		8180216		1.0	1.0	NA	1.0	1.0	sample_0	1	8180216.0	8180216	1	8180216	1
Otu248.0		Gold standard		Otu248.0		4063820		1.0	1.0	NA	1.0	1.0	sample_0	1	4063820.0	4063820	1	4063820	1
Otu351		Gold standard		Otu351		2606696		1.0	1.0	NA	1.0	1.0	sample_0	2	1303348.0	2606696	2	2606696	2
Otu64.0		Gold standard		Otu64.0		5657770		1.0	1.0	NA	1.0	1.0	sample_0	2	2828885.0	5657770	2	5657770	2
Otu249.0		Gold standard		Otu249.0		4516467		1.0	1.0	NA	1.0	1.0	sample_0	2	2258233.5	4516467	2	4516467	2
Otu833		Gold standard		Otu833		1690869		1.0	1.0	NA	1.0	1.0	sample_0	1	1690869.0	1690869	1	1690869	1
Otu293.0		Gold standard		Otu293.0		2560157		1.0	1.0	NA	1.0	1.0	sample_0	2	1280078.5	2560157	2	2560157	2
Otu215.0		Gold standard		Otu215.0		3074116		1.0	1.0	NA	1.0	1.0	sample_0	4	768529.0	3074116	4	3074116	4
Otu122.0		Gold standard		Otu122.0		3555091		1.0	1.0	NA	1.0	1.0	sample_0	1	3555091.0	3555091	1	3555091	1
Otu93		Gold standard		Otu93		3251347		1.0	1.0	NA	1.0	1.0	sample_0	1	3251347.0	3251347	1	3251347	1
Otu86.0		Gold standard		Otu86.0		3764043		1.0	1.0	NA	1.0	1.0	sample_0	1	3764043.0	3764043	1	3764043	1
Otu1180.0		Gold standard		Otu1180.0		4674870		1.0	1.0	NA	1.0	1.0	sample_0	2	2337435.0	4674870	2	4674870	2
Otu75.0		Gold standard		Otu75.0		4279149		1.0	1.0	NA	1.0	1.0	sample_0	1	4279149.0	4279149	1	4279149	1
Otu365.0		Gold standard		Otu365.0		7215228		1.0	1.0	NA	1.0	1.0	sample_0	1	7215228.0	7215228	1	7215228	1
Otu104		Gold standard		Otu104		5504627		1.0	1.0	NA	1.0	1.0	sample_0	2	2752313.5	5504627	2	5504627	2
Otu23		Gold standard		Otu23		5732773		1.0	1.0	NA	1.0	1.0	sample_0	3	1910924.3333333333	5732773	3	5732773	3
Otu274.0		Gold standard		Otu274.0		2269117		1.0	1.0	NA	1.0	1.0	sample_0	1	2269117.0	2269117	1	2269117	1
Otu133.0		Gold standard		Otu133.0		3389983		1.0	1.0	NA	1.0	1.0	sample_0	1	3389983.0	3389983	1	3389983	1
Otu80.0		Gold standard		Otu80.0		4684311		1.0	1.0	NA	1.0	1.0	sample_0	1	4684311.0	4684311	1	4684311	1
Otu525.0		Gold standard		Otu525.0		4337917		1.0	1.0	NA	1.0	1.0	sample_0	1	4337917.0	4337917	1	4337917	1
Otu132		Gold standard		Otu132		2495237		1.0	1.0	NA	1.0	1.0	sample_0	1	2495237.0	2495237	1	2495237	1
Otu179		Gold standard		Otu179		5226895		1.0	1.0	NA	1.0	1.0	sample_0	1	5226895.0	5226895	1	5226895	1
Otu230.1		Gold standard		Otu230.1		4635062		1.0	1.0	NA	1.0	1.0	sample_0	1	4635062.0	4635062	1	4635062	1
Otu239.0		Gold standard		Otu239.0		3920303		1.0	1.0	NA	1.0	1.0	sample_0	1	3920303.0	3920303	1	3920303	1
Otu11		Gold standard		Otu11		1667163		1.0	1.0	NA	1.0	1.0	sample_0	1	1667163.0	1667163	1	1667163	1
Otu60.0		Gold standard		Otu60.0		5197896		1.0	1.0	NA	1.0	1.0	sample_0	1	5197896.0	5197896	1	5197896	1
Otu435.1		Gold standard		Otu435.1		3386699		1.0	1.0	NA	1.0	1.0	sample_0	2	1693349.5	3386699	2	3386699	2
Otu465		Gold standard		Otu465		1443759		1.0	1.0	NA	1.0	1.0	sample_0	1	1443759.0	1443759	1	1443759	1
Otu105.0		Gold standard		Otu105.0		3914609		1.0	1.0	NA	1.0	1.0	sample_0	1	3914609.0	3914609	1	3914609	1
Otu3.1		Gold standard		Otu3.1		3176261		1.0	1.0	NA	1.0	1.0	sample_0	1	3176261.0	3176261	1	3176261	1
Otu854		Gold standard		Otu854		1584791		1.0	1.0	NA	1.0	1.0	sample_0	1	1584791.0	1584791	1	1584791	1
Otu36.0		Gold standard		Otu36.0		4137509		1.0	1.0	NA	1.0	1.0	sample_0	2	2068754.5	4137509	2	4137509	2
Otu595.1		Gold standard		Otu595.1		2215397		1.0	1.0	NA	1.0	1.0	sample_0	6044	366.54483785572467	2215397	6044	2215397	6044
Otu1433		Gold standard		Otu1433		5344500		1.0	1.0	NA	1.0	1.0	sample_0	8643	618.3616799722319	5344500	8643	5344500	8643
Otu1662		Gold standard		Otu1662		914170		1.0	1.0	NA	1.0	1.0	sample_0	2537	360.33504138746554	914170	2537	914170	2537
Otu1984		Gold standard		Otu1984		1165529		1.0	1.0	NA	1.0	1.0	sample_0	4086	285.2493881546745	1165529	4086	1165529	4086
Otu2268		Gold standard		Otu2268		4168230		1.0	1.0	NA	1.0	1.0	sample_0	1980	2105.1666666666665	4168230	1980	4168230	1980
Otu1179.0		Gold standard		Otu1179.0		2592766		1.0	1.0	NA	1.0	1.0	sample_0	7367	351.9432604859509	2592766	7367	2592766	7367
Otu1300		Gold standard		Otu1300		3071188		1.0	1.0	NA	1.0	1.0	sample_0	6460	475.41609907120744	3071188	6460	3071188	6460
Otu1999		Gold standard		Otu1999		2123729		1.0	1.0	NA	1.0	1.0	sample_0	7169	296.23782954386945	2123729	7169	2123729	7169
Otu1577		Gold standard		Otu1577		2674644		1.0	1.0	NA	1.0	1.0	sample_0	6034	443.262180974478	2674644	6034	2674644	6034
Otu1321		Gold standard		Otu1321		2093421		1.0	1.0	NA	1.0	1.0	sample_0	5581	375.0978319297617	2093421	5581	2093421	5581
Otu596		Gold standard		Otu596		3941754		1.0	1.0	NA	1.0	1.0	sample_0	3160	1247.390506329114	3941754	3160	3941754	3160
Otu1621		Gold standard		Otu1621		1534497		1.0	1.0	NA	1.0	1.0	sample_0	3229	475.223598637349	1534497	3229	1534497	3229
Otu867		Gold standard		Otu867		3433181		1.0	1.0	NA	1.0	1.0	sample_0	6984	491.57803550973654	3433181	6984	3433181	6984
Otu1507		Gold standard		Otu1507		3374455		1.0	1.0	NA	1.0	1.0	sample_0	6748	500.06742738589213	3374455	6748	3374455	6748
Otu2335		Gold standard		Otu2335		2633653		1.0	1.0	NA	1.0	1.0	sample_0	5381	489.4356067645419	2633653	5381	2633653	5381
Otu842.0		Gold standard		Otu842.0		2189027		1.0	1.0	NA	1.0	1.0	sample_0	3403	643.2638848075228	2189027	3403	2189027	3403
99		MetaBat2_GTDB		Otu47.0		1518632		0.700801525431785	0.004016064257028112	NA	1.0	1.0	sample_0	1	8702.783132530121	2166993	249	1518632	1
1		MetaBat2_GTDB		Otu160		1859369		1.0	1.0	NA	1.0	1.0	sample_0	1	1859369.0	1859369	1	1859369	1
93		MetaBat2_GTDB		Otu183.1		4779405		0.3460346013967058	0.014457831325301205	NA	1.0	1.0	sample_0	6	33281.75421686747	13811928	415	4779405	6
74		MetaBat2_GTDB		Otu713		1569194		1.0	1.0	NA	1.0	1.0	sample_0	38	41294.57894736842	1569194	38	1569194	38
7		MetaBat2_GTDB		Otu234.0		5341530		1.0	1.0	NA	1.0	1.0	sample_0	1	5341530.0	5341530	1	5341530	1
71		MetaBat2_GTDB		Otu252		2234795		0.501485520661528	0.125	NA	1.0	1.0	sample_0	1	557043.75	4456350	8	2234795	1
119		MetaBat2_GTDB		Otu106		1877649		0.49876838556106395	0.0016420361247947454	NA	1.0	1.0	sample_0	1	6181.56157635468	3764571	609	1877649	1
13		MetaBat2_GTDB		Otu212.0		4600946		1.0	1.0	NA	1.0	1.0	sample_0	3	1533648.6666666667	4600946	3	4600946	3
12		MetaBat2_GTDB		Otu506.0		2989885		1.0	1.0	NA	1.0	1.0	sample_0	6	498314.1666666667	2989885	6	2989885	6
123		MetaBat2_GTDB		Otu219.0		5017042		0.20422885750359118	0.001201923076923077	NA	1.0	1.0	sample_0	1	29526.18269230769	24565784	832	5017042	1
58		MetaBat2_GTDB		Otu293.0		2560157		1.0	1.0	NA	1.0	1.0	sample_0	2	1280078.5	2560157	2	2560157	2
56		MetaBat2_GTDB		Otu365.0		7215228		0.622759711076245	0.058823529411764705	NA	1.0	1.0	sample_0	1	681523.1764705882	11585894	17	7215228	1
59		MetaBat2_GTDB		Otu69.0		4719539		1.0	1.0	NA	1.0	1.0	sample_0	1	4719539.0	4719539	1	4719539	1
60		MetaBat2_GTDB		Otu93		3251347		1.0	1.0	NA	1.0	1.0	sample_0	1	3251347.0	3251347	1	3251347	1
61		MetaBat2_GTDB		Otu597.0		3782562		1.0	1.0	NA	1.0	1.0	sample_0	12	315213.5	3782562	12	3782562	12
118		MetaBat2_GTDB		Otu82		4059887		0.9995046651824676	0.5	NA	1.0	1.0	sample_0	1	2030949.5	4061899	2	4059887	1
83		MetaBat2_GTDB		Otu168.0		3274117		1.0	1.0	NA	1.0	1.0	sample_0	3	1091372.3333333333	3274117	3	3274117	3
107		MetaBat2_GTDB		Otu368		5548833		0.11493572209085494	0.002173913043478261	NA	1.0	1.0	sample_0	13	8073.194983277592	48277706	5980	5548833	13
84		MetaBat2_GTDB		Otu303.0		1999613		1.0	1.0	NA	1.0	1.0	sample_0	2	999806.5	1999613	2	1999613	2
9		MetaBat2_GTDB		Otu1458.0		4944048		0.9996718342162266	0.6666666666666666	NA	1.0	1.0	sample_0	2	1648557.0	4945671	3	4944048	2
232		MetaBat2_GTDB		Otu4.0		1926630		1.0	1.0	NA	1.0	1.0	sample_0	1	1926630.0	1926630	1	1926630	1
24		MetaBat2_GTDB		Otu222.1		5183322		0.9974941992859209	0.14285714285714285	NA	1.0	1.0	sample_0	1	742334.7142857143	5196343	7	5183322	1
53		MetaBat2_GTDB		Otu183.0		5413067		0.9916742893165227	0.4883720930232558	NA	1.0	1.0	sample_0	21	126942.16279069768	5458513	43	5413067	21
5		MetaBat2_GTDB		Otu3.1		3176261		1.0	1.0	NA	1.0	1.0	sample_0	1	3176261.0	3176261	1	3176261	1
48		MetaBat2_GTDB		Otu199.0		4000036		0.999596416579057	0.5	NA	1.0	1.0	sample_0	1	2000825.5	4001651	2	4000036	1
49		MetaBat2_GTDB		Otu42.0		3994757		0.5658104491930089	0.045454545454545456	NA	1.0	1.0	sample_0	1	320919.95454545453	7060239	22	3994757	1
149		MetaBat2_GTDB		Otu301		5396452		0.17742229950353863	0.0002637826431020839	NA	1.0	1.0	sample_0	1	8023.176206805592	30415861	3791	5396452	1
15		MetaBat2_GTDB		Otu133.0		3389983		1.0	1.0	NA	1.0	1.0	sample_0	1	3389983.0	3389983	1	3389983	1
148		MetaBat2_GTDB		Otu438		6321918		0.9921205274157279	0.22857142857142856	NA	1.0	1.0	sample_0	8	182060.77142857143	6372127	35	6321918	8
146		MetaBat2_GTDB		Otu459		2070670		0.40311289349193064	0.0223463687150838	NA	1.0	1.0	sample_0	8	14348.324022346369	5136700	358	2070670	8
40		MetaBat2_GTDB		RNODE_225_length_25884_cov_6.69550		258550		1.0	1.0	NA	1.0	1.0	sample_0	10	25855.0	258550	10	258550	10
44		MetaBat2_GTDB		Otu60.0		5197896		1.0	1.0	NA	1.0	1.0	sample_0	1	5197896.0	5197896	1	5197896	1
157		MetaBat2_GTDB		Otu583		1704075		0.2177930913550684	0.01639344262295082	NA	1.0	1.0	sample_0	1	128266.95081967213	7824284	61	1704075	1
33		MetaBat2_GTDB		Otu238.0		4505655		0.5059597435870082	0.25	NA	1.0	1.0	sample_0	1	2226291.25	8905165	4	4505655	1
295		MetaBat2_GTDB		Otu122.0		3555091		1.0	1.0	NA	1.0	1.0	sample_0	1	3555091.0	3555091	1	3555091	1
287		MetaBat2_GTDB		Otu833		1690869		1.0	1.0	NA	1.0	1.0	sample_0	1	1690869.0	1690869	1	1690869	1
178		MetaBat2_GTDB		Otu11		1667163		1.0	1.0	NA	1.0	1.0	sample_0	1	1667163.0	1667163	1	1667163	1
17		MetaBat2_GTDB		Otu130.0		4289702		1.0	1.0	NA	1.0	1.0	sample_0	2	2144851.0	4289702	2	4289702	2
174		MetaBat2_GTDB		Otu470		1595975		1.0	1.0	NA	1.0	1.0	sample_0	1	1595975.0	1595975	1	1595975	1
171		MetaBat2_GTDB		Otu196		2316281		0.5284582208176328	0.00847457627118644	NA	1.0	1.0	sample_0	1	37144.84745762712	4383092	118	2316281	1
306		MetaBat2_GTDB		Otu846.0		3858490		1.0	1.0	NA	1.0	1.0	sample_0	3	1286163.3333333333	3858490	3	3858490	3
309		MetaBat2_GTDB		Otu24.0		4830178		1.0	1.0	NA	1.0	1.0	sample_0	1	4830178.0	4830178	1	4830178	1
31		MetaBat2_GTDB		Otu1204		1118416		1.0	1.0	NA	1.0	1.0	sample_0	3	372805.3333333333	1118416	3	1118416	3
314		MetaBat2_GTDB		Otu48.0		1739487		1.0	1.0	NA	1.0	1.0	sample_0	1	1739487.0	1739487	1	1739487	1
315		MetaBat2_GTDB		Otu85.0		3427048		0.35392613426470265	0.0017301038062283738	NA	1.0	1.0	sample_0	1	16752.503460207612	9682947	578	3427048	1
316		MetaBat2_GTDB		Otu185.0		5373173		0.4848881395559333	0.002386634844868735	NA	1.0	1.0	sample_0	1	26446.928400954654	11081263	419	5373173	1
317		MetaBat2_GTDB		Otu40.0		1481183		1.0	1.0	NA	1.0	1.0	sample_0	1	1481183.0	1481183	1	1481183	1
32		MetaBat2_GTDB		Otu218		1878554		1.0	1.0	NA	1.0	1.0	sample_0	2	939277.0	1878554	2	1878554	2
184		MetaBat2_GTDB		Otu53.0		3424954		1.0	1.0	NA	1.0	1.0	sample_0	1	3424954.0	3424954	1	3424954	1
289		MetaBat2_GTDB		Otu75.0		4279149		1.0	1.0	NA	1.0	1.0	sample_0	1	4279149.0	4279149	1	4279149	1
189		MetaBat2_GTDB		Otu852.0		4399929		1.0	1.0	NA	1.0	1.0	sample_0	9	488881.0	4399929	9	4399929	9
299		MetaBat2_GTDB		Otu239.0		3920303		0.3380845489278762	0.25	NA	1.0	1.0	sample_0	1	2898907.25	11595629	4	3920303	1
297		MetaBat2_GTDB		Otu9		2562275		1.0	1.0	NA	1.0	1.0	sample_0	1	2562275.0	2562275	1	2562275	1
248		MetaBat2_GTDB		Otu1000		4884705		1.0	1.0	NA	1.0	1.0	sample_0	1	4884705.0	4884705	1	4884705	1
226		MetaBat2_GTDB		Otu89		1861292		1.0	1.0	NA	1.0	1.0	sample_0	1	1861292.0	1861292	1	1861292	1
23		MetaBat2_GTDB		RNODE_521_length_36130_cov_13.94678		360770		1.0	1.0	NA	1.0	1.0	sample_0	10	36077.0	360770	10	360770	10
220		MetaBat2_GTDB		Otu90.0		3705011		1.0	1.0	NA	1.0	1.0	sample_0	1	3705011.0	3705011	1	3705011	1
223		MetaBat2_GTDB		Otu85.1		3293900		0.9995290479120922	0.8	NA	1.0	1.0	sample_0	4	659090.4	3295452	5	3293900	4
224		MetaBat2_GTDB		Otu398		1908158		1.0	1.0	NA	1.0	1.0	sample_0	3	636052.6666666666	1908158	3	1908158	3
260		MetaBat2_GTDB		Otu214.0		5132065		1.0	1.0	NA	1.0	1.0	sample_0	1	5132065.0	5132065	1	5132065	1
214		MetaBat2_GTDB		Otu382.0		4455384		1.0	1.0	NA	1.0	1.0	sample_0	1	4455384.0	4455384	1	4455384	1
209		MetaBat2_GTDB		Otu235.0		4616522		0.5565803116304416	0.1	NA	1.0	1.0	sample_0	1	829444.0	8294440	10	4616522	1
207		MetaBat2_GTDB		Otu180		2224849		0.9990857183913853	0.6666666666666666	NA	1.0	1.0	sample_0	2	742295.0	2226885	3	2224849	2
258		MetaBat2_GTDB		Otu39.0		3644088		1.0	1.0	NA	1.0	1.0	sample_0	2	1822044.0	3644088	2	3644088	2
27		MetaBat2_GTDB		Otu302.0		3132217		1.0	1.0	NA	1.0	1.0	sample_0	3	1044072.3333333334	3132217	3	3132217	3
268		MetaBat2_GTDB		Otu576		3398823		0.2834677880754846	0.006589785831960461	NA	1.0	1.0	sample_0	8	9876.570016474465	11990156	1214	3398823	8
262		MetaBat2_GTDB		Otu119.0		4653847		0.07631529446004408	0.001326259946949602	NA	1.0	1.0	sample_0	1	80877.77055702917	60981839	754	4653847	1
